iter	Logloss	Accuracy
0	0.6766620772	0.7868162693
1	0.6617813237	0.7854137447
2	0.6479045671	0.7868162693
3	0.634221413	0.8064516129
4	0.6211100904	0.809256662
5	0.6137021033	0.8078541374
6	0.6015079523	0.8134642356
7	0.5889024086	0.8176718093
8	0.5773144729	0.8162692847
9	0.5670439489	0.8162692847
10	0.5568917746	0.8162692847
11	0.5476589216	0.8134642356
12	0.5382057894	0.8232819074
13	0.5303245305	0.8204768583
14	0.522367524	0.8190743338
15	0.5164464899	0.8204768583
16	0.5096604465	0.8204768583
17	0.5028559453	0.8204768583
18	0.4976796572	0.8218793829
19	0.4934430223	0.8204768583
20	0.4918885069	0.8190743338
21	0.4865230057	0.8204768583
22	0.4812797338	0.8204768583
23	0.4775694934	0.8204768583
24	0.4736234639	0.8232819074
25	0.4698136102	0.8232819074
26	0.4650332797	0.824684432
27	0.4608997954	0.8260869565
28	0.4573458019	0.8260869565
29	0.4537086952	0.8288920056
30	0.450395681	0.8288920056
31	0.4457957411	0.8316970547
32	0.4423520902	0.8302945302
33	0.439988102	0.8302945302
34	0.4376394628	0.8302945302
35	0.4351469245	0.8302945302
36	0.4326307245	0.8302945302
37	0.4303078391	0.8302945302
38	0.4298357466	0.8302945302
39	0.42772691	0.8302945302
40	0.4267211886	0.8302945302
41	0.4250523701	0.8316970547
42	0.4224206016	0.8316970547
43	0.4206437496	0.8316970547
44	0.4181456637	0.8316970547
45	0.4174802745	0.8316970547
46	0.4158249338	0.8345021038
47	0.4143430135	0.8345021038
48	0.413108368	0.8373071529
49	0.4114242337	0.840112202
50	0.4080129524	0.840112202
51	0.4062818096	0.840112202
52	0.405004872	0.840112202
53	0.4029834902	0.840112202
54	0.4024540064	0.840112202
55	0.4014676233	0.840112202
56	0.3996217108	0.840112202
57	0.398659619	0.840112202
58	0.3973977392	0.840112202
59	0.3965596837	0.8415147265
60	0.3960351244	0.8415147265
61	0.394037451	0.8429172511
62	0.3923624002	0.8415147265
63	0.3913976932	0.8415147265
64	0.3900976849	0.8415147265
65	0.3888285461	0.8415147265
66	0.3880400317	0.8415147265
67	0.3864658629	0.8415147265
68	0.3852081755	0.8429172511
69	0.3845793468	0.8429172511
70	0.3843043872	0.8443197756
71	0.3829102795	0.8457223001
72	0.3820913366	0.8457223001
73	0.3806025263	0.8471248247
74	0.3802046564	0.8471248247
75	0.3790468555	0.8527349229
76	0.3778954129	0.8555399719
77	0.3766379403	0.8569424965
78	0.3759530552	0.8555399719
79	0.3743559708	0.8527349229
80	0.3739148548	0.8541374474
81	0.373034857	0.858345021
82	0.3720371443	0.8569424965
83	0.3716936397	0.8569424965
84	0.3712345262	0.858345021
85	0.3710515123	0.8569424965
86	0.370518191	0.8555399719
87	0.3693918599	0.858345021
88	0.3689196732	0.8611500701
89	0.3684608886	0.8611500701
