iter	Passed	Remaining
0	19	19518
1	35	17932
2	69	23121
3	89	22196
4	110	21914
5	132	21892
6	158	22539
7	184	22932
8	213	23469
9	246	24361
10	276	24861
11	307	25354
12	332	25206
13	355	25006
14	377	24813
15	386	23765
16	397	23003
17	420	22932
18	436	22524
19	461	22632
20	493	22993
21	526	23394
22	555	23602
23	583	23720
24	610	23820
25	625	23425
26	644	23225
27	669	23249
28	701	23498
29	713	23058
30	740	23153
31	764	23130
32	780	22866
33	802	22809
34	825	22750
35	847	22699
36	869	22636
37	899	22776
38	931	22940
39	952	22861
40	976	22849
41	1003	22883
42	1030	22927
43	1054	22922
44	1080	22934
45	1091	22646
46	1120	22723
47	1152	22854
48	1185	23001
49	1213	23059
50	1228	22851
51	1254	22868
52	1280	22880
53	1307	22901
54	1336	22966
55	1368	23065
56	1398	23132
57	1424	23137
58	1451	23146
59	1475	23113
60	1498	23060
61	1520	23000
62	1544	22972
63	1575	23044
64	1605	23092
65	1634	23134
66	1662	23156
67	1690	23170
68	1717	23176
69	1743	23168
70	1771	23180
71	1800	23201
72	1828	23213
73	1852	23175
74	1860	22948
75	1883	22901
76	1909	22890
77	1936	22885
78	1965	22914
79	1997	22965
80	2029	23025
81	2045	22895
82	2073	22910
83	2099	22892
84	2123	22859
85	2148	22830
86	2170	22778
87	2194	22740
88	2222	22746
89	2254	22790
90	2283	22806
91	2307	22775
92	2336	22783
93	2363	22783
94	2390	22776
95	2418	22776
96	2449	22803
97	2480	22827
98	2508	22825
99	2531	22787
100	2555	22748
101	2578	22700
102	2590	22560
103	2613	22512
104	2637	22483
105	2656	22406
106	2686	22418
107	2716	22439
108	2746	22447
109	2774	22451
110	2798	22415
111	2813	22308
112	2828	22206
113	2851	22162
114	2866	22062
115	2886	21998
116	2916	22013
117	2944	22007
118	2970	21988
119	3000	22002
120	3024	21972
121	3051	21958
122	3078	21951
123	3107	21951
124	3139	21974
125	3164	21949
126	3173	21812
127	3196	21775
128	3220	21746
129	3232	21630
130	3258	21613
131	3286	21610
132	3318	21634
133	3352	21663
134	3381	21668
135	3396	21580
136	3419	21538
137	3427	21411
138	3450	21370
139	3473	21334
140	3493	21282
141	3523	21290
142	3554	21302
143	3582	21295
144	3601	21238
145	3628	21224
146	3656	21219
147	3683	21205
148	3706	21170
149	3719	21077
150	3752	21098
151	3780	21091
152	3803	21055
153	3826	21019
154	3848	20978
155	3871	20943
156	3893	20907
157	3919	20886
158	3951	20898
159	3981	20904
160	4008	20886
161	4025	20820
162	4048	20788
163	4056	20680
164	4079	20642
165	4102	20612
166	4127	20586
167	4160	20602
168	4193	20617
169	4222	20616
170	4248	20597
171	4273	20574
172	4299	20551
173	4326	20538
174	4338	20454
175	4351	20372
176	4381	20371
177	4410	20367
178	4438	20355
179	4460	20318
180	4483	20286
181	4505	20251
182	4528	20217
183	4559	20219
184	4589	20219
185	4619	20215
186	4643	20187
187	4667	20158
188	4690	20129
189	4713	20092
190	4738	20068
191	4769	20070
192	4801	20077
193	4826	20051
194	4844	19999
195	4869	19975
196	4891	19938
197	4924	19945
198	4950	19924
199	4977	19911
200	5007	19904
201	5025	19852
202	5035	19768
203	5058	19739
204	5082	19709
205	5108	19691
206	5132	19662
207	5158	19641
208	5189	19639
209	5219	19636
210	5247	19623
211	5268	19583
212	5281	19513
213	5309	19500
214	5336	19484
215	5363	19469
216	5375	19395
217	5404	19387
218	5434	19380
219	5464	19373
220	5492	19361
221	5518	19338
222	5544	19319
223	5573	19307
224	5603	19299
225	5634	19297
226	5664	19288
227	5676	19219
228	5699	19187
229	5726	19172
230	5737	19099
231	5764	19084
232	5794	19074
233	5806	19008
234	5836	18999
235	5862	18979
236	5889	18960
237	5916	18943
238	5942	18921
239	5969	18903
240	5999	18894
241	6033	18897
242	6067	18902
243	6077	18829
244	6101	18803
245	6128	18784
246	6158	18773
247	6186	18758
248	6216	18748
249	6247	18741
250	6279	18737
251	6308	18724
252	6334	18703
253	6363	18688
254	6390	18670
255	6414	18640
256	6429	18588
257	6461	18583
258	6493	18576
259	6517	18550
260	6540	18520
261	6563	18489
262	6586	18457
263	6608	18424
264	6631	18393
265	6655	18364
266	6685	18353
267	6713	18336
268	6737	18308
269	6761	18279
270	6787	18258
271	6813	18236
272	6842	18221
273	6875	18217
274	6911	18222
275	6938	18202
276	6964	18178
277	6993	18162
278	7020	18141
279	7045	18117
280	7075	18104
281	7106	18093
282	7133	18073
283	7154	18036
284	7176	18004
285	7199	17973
286	7222	17942
287	7246	17914
288	7269	17885
289	7299	17870
290	7328	17856
291	7358	17842
292	7383	17815
293	7407	17788
294	7430	17756
295	7452	17724
296	7475	17694
297	7499	17667
298	7528	17650
299	7559	17638
300	7592	17632
301	7618	17608
302	7647	17591
303	7675	17572
304	7703	17554
305	7732	17537
306	7763	17525
307	7791	17505
308	7815	17476
309	7838	17446
310	7861	17416
311	7884	17387
312	7906	17352
313	7928	17322
314	7957	17305
315	7989	17294
316	8018	17277
317	8041	17246
318	8064	17215
319	8088	17187
320	8111	17157
321	8134	17127
322	8157	17097
323	8186	17080
324	8217	17066
325	8244	17045
326	8268	17017
327	8291	16987
328	8318	16964
329	8345	16944
330	8372	16921
331	8404	16909
332	8435	16895
333	8464	16878
334	8490	16854
335	8517	16831
336	8546	16813
337	8575	16795
338	8609	16787
339	8641	16773
340	8669	16755
341	8696	16732
342	8722	16706
343	8744	16675
344	8767	16646
345	8795	16624
346	8824	16606
347	8854	16590
348	8879	16562
349	8902	16532
350	8928	16508
351	8955	16486
352	8982	16462
353	9013	16447
354	9045	16434
355	9076	16418
356	9100	16391
357	9122	16359
358	9144	16328
359	9167	16297
360	9190	16267
361	9213	16237
362	9242	16219
363	9273	16203
364	9302	16184
365	9327	16157
366	9351	16129
367	9377	16104
368	9406	16084
369	9433	16062
370	9464	16046
371	9497	16033
372	9530	16020
373	9558	15998
374	9584	15974
375	9610	15949
376	9638	15928
377	9666	15905
378	9695	15886
379	9729	15874
380	9759	15855
381	9782	15826
382	9805	15797
383	9829	15768
384	9853	15739
385	9875	15708
386	9898	15678
387	9925	15656
388	9959	15644
389	9991	15627
390	10019	15605
391	10045	15580
392	10070	15554
393	10097	15530
394	10120	15500
395	10146	15476
396	10176	15456
397	10205	15435
398	10228	15407
399	10256	15384
400	10282	15359
401	10307	15333
402	10333	15307
403	10362	15286
404	10395	15272
405	10424	15251
406	10451	15227
407	10477	15202
408	10504	15178
409	10532	15155
410	10559	15132
411	10591	15115
412	10623	15098
413	10654	15080
414	10677	15051
415	10700	15022
416	10723	14992
417	10747	14964
418	10772	14937
419	10796	14909
420	10825	14888
421	10857	14871
422	10889	14853
423	10918	14832
424	10943	14805
425	10969	14780
426	10993	14753
427	11017	14724
428	11042	14698
429	11073	14678
430	11104	14660
431	11133	14639
432	11160	14613
433	11188	14591
434	11216	14568
435	11244	14545
436	11279	14531
437	11311	14514
438	11339	14490
439	11366	14466
440	11391	14439
441	11417	14413
442	11442	14387
443	11472	14366
444	11501	14345
445	11531	14323
446	11555	14295
447	11579	14267
448	11601	14237
449	11625	14208
450	11652	14184
451	11681	14162
452	11714	14145
453	11745	14126
454	11775	14104
455	11799	14076
456	11823	14048
457	11846	14018
458	11868	13989
459	11896	13965
460	11928	13947
461	11961	13928
462	11986	13902
463	12015	13879
464	12042	13855
465	12069	13831
466	12097	13807
467	12129	13787
468	12165	13773
469	12190	13746
470	12216	13720
471	12242	13694
472	12268	13668
473	12294	13643
474	12319	13616
475	12350	13595
476	12379	13573
477	12408	13550
478	12432	13522
479	12456	13494
480	12478	13464
481	12501	13435
482	12525	13406
483	12549	13379
484	12574	13351
485	12605	13331
486	12634	13308
487	12663	13286
488	12687	13257
489	12709	13228
490	12739	13206
491	12768	13183
492	12798	13162
493	12829	13141
494	12861	13121
495	12887	13095
496	12913	13069
497	12940	13044
498	12965	13017
499	12990	12990
500	13019	12967
501	13053	12949
502	13083	12926
503	13107	12899
504	13131	12870
505	13154	12842
506	13177	12814
507	13201	12785
508	13226	12758
509	13256	12736
510	13285	12713
511	13310	12686
512	13335	12659
513	13358	12631
514	13381	12601
515	13404	12572
516	13427	12544
517	13460	12525
518	13499	12511
519	13525	12485
520	13550	12458
521	13573	12429
522	13596	12400
523	13621	12373
524	13650	12350
525	13682	12330
526	13714	12308
527	13739	12282
528	13765	12255
529	13790	12229
530	13814	12201
531	13837	12172
532	13862	12146
533	13891	12122
534	13922	12100
535	13954	12079
536	13980	12053
537	14007	12028
538	14036	12005
539	14065	11981
540	14099	11962
541	14132	11942
542	14160	11917
543	14186	11891
544	14209	11863
545	14232	11834
546	14255	11805
547	14282	11780
548	14314	11759
549	14343	11735
