iter	Logloss	Accuracy
0	0.6756870333	0.8124174373
1	0.6578987977	0.8137384412
2	0.6427409593	0.8150594452
3	0.6279559977	0.8163804491
4	0.6148695905	0.8124174373
5	0.6023822782	0.8137384412
6	0.5916055771	0.8124174373
7	0.5815452157	0.8110964333
8	0.5703521424	0.8124174373
9	0.5583319099	0.8124174373
10	0.5488924663	0.8124174373
11	0.5409891397	0.8137384412
12	0.5315411577	0.8163804491
13	0.5255803407	0.8163804491
14	0.5190484999	0.8150594452
15	0.5120071889	0.8137384412
16	0.5051463679	0.8137384412
17	0.4992462309	0.8190224571
18	0.4976147383	0.8177014531
19	0.4916840638	0.8177014531
20	0.4856546667	0.8190224571
21	0.4805472676	0.822985469
22	0.4766996697	0.8243064729
23	0.4721199643	0.8243064729
24	0.4680772579	0.8256274769
25	0.4644231683	0.8256274769
26	0.4627161067	0.8256274769
27	0.4592265854	0.8243064729
28	0.4562939559	0.822985469
29	0.455374141	0.8256274769
30	0.4495913689	0.8243064729
31	0.4467374431	0.8256274769
32	0.4424933446	0.8243064729
33	0.4411339726	0.822985469
34	0.4383723622	0.822985469
35	0.4377787254	0.822985469
36	0.4363292408	0.8256274769
37	0.4341952875	0.8256274769
38	0.4306295911	0.8282694848
39	0.4282640254	0.8269484808
40	0.4252715405	0.8295904888
41	0.423440217	0.8295904888
42	0.4209115006	0.8295904888
43	0.4190432976	0.8322324967
44	0.4169215819	0.8335535007
45	0.4166154242	0.8335535007
46	0.4155727784	0.8335535007
47	0.4136528962	0.8335535007
48	0.4119692682	0.8335535007
49	0.4111847489	0.8335535007
50	0.4089942221	0.8335535007
51	0.4081101702	0.8335535007
52	0.4063950522	0.8335535007
53	0.405077529	0.8375165125
54	0.4025597664	0.8414795244
55	0.4016408497	0.8428005284
56	0.3998100772	0.8428005284
57	0.3983520278	0.8428005284
58	0.3983050167	0.8428005284
59	0.3970066872	0.8428005284
60	0.3962949868	0.8428005284
61	0.3954640321	0.8414795244
62	0.3941828859	0.8441215324
63	0.3935989158	0.8454425363
64	0.3923998238	0.8454425363
65	0.392226624	0.8467635403
66	0.3914606982	0.8467635403
67	0.3906391061	0.8467635403
68	0.3890474375	0.8467635403
69	0.3876131593	0.8467635403
70	0.3875919794	0.8467635403
71	0.386485779	0.8467635403
72	0.3859581844	0.8467635403
73	0.384943799	0.8467635403
74	0.3843284623	0.8467635403
75	0.3834805875	0.8467635403
76	0.3823529865	0.8480845443
77	0.3816267292	0.8467635403
78	0.3797091925	0.8467635403
79	0.3792723907	0.8467635403
80	0.3779206413	0.8467635403
81	0.376224055	0.8467635403
82	0.3758977456	0.8494055482
83	0.3750418325	0.8507265522
84	0.3742114985	0.8520475561
85	0.3723905556	0.8533685601
86	0.3716489396	0.8533685601
87	0.3712338365	0.8546895641
88	0.370373784	0.8546895641
89	0.3696301969	0.8546895641
90	0.3693297547	0.8546895641
91	0.3691569765	0.8546895641
