iter	Passed	Remaining
0	179	179743
1	209	104609
2	240	79955
3	269	67140
4	298	59411
5	323	53665
6	345	49011
7	369	45763
8	394	43473
9	425	42097
10	453	40797
11	480	39563
12	508	38580
13	526	37071
14	552	36304
15	579	35665
16	606	35057
17	634	34610
18	652	33667
19	685	33595
20	716	33385
21	741	32976
22	761	32343
23	786	31976
24	811	31659
25	836	31355
26	847	30544
27	879	30520
28	912	30556
29	926	29943
30	954	29821
31	982	29712
32	1010	29623
33	1030	29268
34	1059	29200
35	1070	28675
36	1104	28755
37	1134	28716
38	1159	28564
39	1185	28460
40	1209	28292
41	1234	28152
42	1257	27983
43	1285	27939
44	1318	27970
45	1330	27599
46	1362	27623
47	1388	27547
48	1415	27469
49	1437	27303
50	1463	27227
51	1484	27061
52	1514	27066
53	1551	27175
54	1583	27200
55	1611	27162
56	1637	27097
57	1662	27003
58	1669	26631
59	1697	26601
60	1725	26554
61	1753	26524
62	1785	26554
63	1806	26420
64	1833	26371
65	1850	26183
66	1874	26105
67	1900	26048
68	1922	25939
69	1950	25914
70	1957	25614
71	1993	25689
72	2021	25667
73	2050	25653
74	2075	25592
75	2099	25527
76	2125	25483
77	2150	25423
78	2184	25462
79	2218	25516
80	2248	25515
81	2274	25467
82	2293	25337
83	2315	25251
84	2340	25197
85	2366	25148
86	2397	25158
87	2432	25210
88	2464	25224
89	2493	25213
90	2519	25170
91	2538	25057
92	2568	25051
93	2600	25067
94	2634	25092
95	2649	24950
96	2678	24936
97	2704	24894
98	2730	24849
99	2743	24691
100	2770	24657
101	2800	24657
102	2833	24675
103	2863	24666
104	2888	24620
105	2912	24566
106	2937	24519
107	2948	24349
108	2976	24332
109	3006	24328
110	3037	24323
111	3063	24289
112	3088	24242
113	3100	24099
114	3124	24041
115	3146	23980
116	3169	23919
117	3196	23893
118	3228	23898
119	3257	23891
120	3284	23862
121	3310	23825
122	3335	23782
123	3361	23744
124	3387	23709
125	3400	23588
126	3430	23584
127	3462	23587
128	3491	23571
129	3500	23427
130	3528	23406
131	3554	23375
132	3581	23345
133	3591	23210
134	3620	23199
135	3654	23218
136	3689	23240
137	3713	23198
138	3736	23142
139	3758	23086
140	3780	23032
141	3803	22981
142	3828	22942
143	3844	22851
144	3875	22852
145	3905	22843
146	3928	22797
147	3951	22746
148	3974	22701
149	3998	22657
150	4021	22609
151	4048	22588
152	4059	22472
153	4078	22405
154	4108	22398
155	4135	22371
156	4158	22328
157	4181	22285
158	4206	22252
159	4234	22229
160	4252	22159
161	4262	22049
162	4293	22046
163	4324	22044
164	4352	22027
165	4380	22008
166	4408	21987
167	4422	21899
168	4449	21878
169	4482	21884
170	4513	21883
171	4527	21797
172	4553	21767
173	4565	21674
174	4588	21629
175	4611	21588
176	4634	21550
177	4658	21512
178	4681	21472
179	4692	21377
180	4724	21377
181	4754	21370
182	4782	21349
183	4807	21318
184	4829	21277
185	4853	21238
186	4868	21167
187	4883	21092
188	4898	21019
189	4930	21018
190	4960	21011
191	4975	20937
192	4999	20905
193	5023	20869
194	5047	20838
195	5067	20785
196	5090	20750
197	5124	20754
198	5134	20667
199	5166	20667
200	5193	20644
201	5217	20611
202	5240	20575
203	5264	20541
204	5276	20462
205	5301	20434
206	5332	20429
207	5365	20432
